UID,Counter,Upload_Time,Message
24,0,2019-06-27 10:10:18,1110010000000001000011110000001101101001000001000001010000011110000101000010001100001111000000000000000000000000
24,0,2019-06-27 10:11:56,1110010000000001000011110000001101101010000001000001010000011110000101000010010000001111000000000000000000000000
24,0,2019-06-27 10:13:41,1110010000000001000011110000001101100110000001000001010000011110000101000010000000001111000000000000000000000000
24,0,2019-06-27 10:15:27,1110010000000001000011110000001101101000000001000001010000100000000101000010000000001111000000000000000000000000
24,0,2019-06-27 10:17:11,1110010000000001000011110000001101100101000001000001010000100000000101000001110100001111000000000000000000000000
24,0,2019-06-27 10:18:55,1110010000000001000011110000001101100010000001000001010000100000000101000001101000001111000000000000000000000000
24,0,2019-06-27 10:20:36,1110010000000001000011110000001101100001000001000001010000011101000101000001110000001111000000000000000000000000
24,0,2019-06-27 10:22:11,1110010000000001000011110000001101100001000001000001010000011101000101000001110000001111000000000000000000000000
24,0,2019-06-27 10:23:48,1110010000000001000011110000001101100011000001000001010000011110000101000001110100001111000000000000000000000000
24,0,2019-06-27 10:25:27,1110010000000001000011110000001101011100000001000001010000011100000101000001100000001111000000000000000000000000
24,0,2019-06-27 10:56:44,1110010000000001000011110000001101100000000001000001010000011011000101000001110100001111000000000000000000000000
24,0,2019-06-27 10:56:45,1110010000000001000011110000001101100101000001000001010000011011000101000010001000001111000000000000000000000000
24,0,2019-06-27 10:56:46,1110010000000001000011110000001101100010000001000001010000011011000101000001111100001111000000000000000000000000
24,0,2019-06-27 10:59:51,1110010000000001000011110000001101101010000001000001010000011101000101000010010100001111000000000000000000000000
24,0,2019-06-27 11:01:40,1110010000000001000011110000001101101001000001000001010000011110000101000010001100001111000000000000000000000000
24,0,2019-06-27 11:03:27,1110010000000001000011110000001101110000000001000001010000100010000101000010011000001111000000000000000000000000
24,0,2019-06-27 11:05:16,1110010000000001000011110000001101101101000001000001010000100010000101000010001100001111000000000000000000000000
24,0,2019-06-27 11:07:08,1110010000000001000011110000001101101111000001000001010100100011000101000010001100001111000000000000000000000000
24,0,2019-06-27 11:08:59,1110010000000001000011110000001101101101000001000001010000100010000101000010001100001111000000000000000000000000
24,0,2019-06-27 11:10:47,1110010000000001000011110000001101110001000001000001010100100011000101000010010100001111000000000000000000000000
24,0,2019-06-27 11:12:38,1110010000000001000011110000001101101110000001000001010000100001000101000010010100001111000000000000000000000000
24,0,2019-06-27 11:14:29,1110010000000001000011110000001101110011000001000001010000011111000101000010110000001111000000000000000000000000
24,0,2019-06-27 11:16:17,1110010000000001000011110000001101110110000001000001010000100001000101000010110100001111000000000000000000000000
24,0,2019-06-27 11:18:14,1110010000000001000011110000001101110010000001000001010000100010000101000010100000001111000000000000000000000000
24,0,2019-06-27 11:20:13,1110010000000001000011110000001101110010000001000001010000100010000101000010100000001111000000000000000000000000
24,0,2019-06-27 11:22:07,1110010000000001000011110000001101101110000001000001010000011111000101000010011100001111000000000000000000000000
24,0,2019-06-27 11:23:57,1110010000000001000011110000001101110001000001000001010000100010000101000010011100001111000000000000000000000000
24,0,2019-06-27 11:25:50,1110010000000001000011110000001101111001000001000001011000101100000101010010001000001111000000000000000000000000
24,0,2019-06-27 11:27:57,1110010000000001000011110000001101110010000001000001011000100101000101000010001100001111000000000000000000000000
24,0,2019-06-27 11:29:50,1110010000000001000011110000001101110110000001000001100000100111000101000010001100001111000000000000000000000000
24,0,2019-06-27 11:31:48,1110010000000001000011110000001101101111000001000001011100100111000101000001110100001111000000000000000000000000
24,0,2019-06-27 11:33:46,1110010000000001000011110000001101110101000001000001100100101001000101000001111100001111000000000000000000000000
24,0,2019-06-27 11:37:44,1110010000000001000011110000001101100111000001000001010000100011000101000001110000001111000000000000000000000000
24,0,2019-06-27 11:39:30,1110010000000001000011110000001101110000000001000001010100100110000101000010000100001111000000000000000000000000
24,0,2019-06-27 11:41:17,1110010000000001000011110000001101110100000001000001010100100111000101000010010000001111000000000000000000000000
24,0,2019-06-27 11:43:10,1110010000000001000011110000001101110000000001000001010000100100000101000010010000001111000000000000000000000000
24,0,2019-06-27 11:45:02,1110010000000001000011110000001101110011000001000001010000100011000101000010100000001111000000000000000000000000
24,0,2019-06-27 11:46:53,1110010000000001000011110000001101110111000001000001100000100111000101000010010000001111000000000000000000000000
24,0,2019-06-27 11:48:56,1110010000000001000011110000001101110001000001000001010100100101000101000010001100001111000000000000000000000000
24,0,2019-06-27 11:50:50,1110010000000001000011110000001101111110000001000001010100100110000101000010111100001111000000000000000000000000
24,0,2019-06-27 11:52:44,1110010000000001000011110000001110000000000001000001011000100110000101000011000000001111000000000000000000000000
24,0,2019-06-27 11:54:51,1110010000000001000011110000001110000000000001000001100000100111000101000010110100001111000000000000000000000000
24,0,2019-06-27 11:57:01,1110010000000001000011110000001110000110000001000001101000101010000101000010111000001111000000000000000000000000
24,0,2019-06-27 11:59:14,1110010000000001000011110000001110001001000001000001110000101010000101000010111100001111000000000000000000000000
24,0,2019-06-27 12:01:31,1110010000000001000011110000001101111110000001000001101100101001000101000010011000001111000000000000000000000000
24,0,2019-06-27 12:03:46,1110010000000001000011110000001101111000000001000001011000100110000101000010100000001111000000000000000000000000
24,0,2019-06-27 12:07:44,1110010000000001000011110000001101110100000001000001010100100011000101000010100000001111000000000000000000000000
24,0,2019-06-27 12:09:40,1110010000000001000011110000001101110110000001000001100000100111000101000010001100001111000000000000000000000000
24,0,2019-06-27 13:54:08,1110010000000001000011110000001101101000000001000001010000100000000101000010000000001111000000000000000000000000
24,0,2019-06-27 13:56:00,1110010000000001000011110000001101100101000001000001010000100000000101000001110100001111000000000000000000000000
24,0,2019-06-27 13:57:44,1110010000000001000011110000001101100111000001000001010000011111000101000010000000001111000000000000000000000000
24,0,2019-06-27 13:59:24,1110010000000001000011110000001101101011000001000001010000011111000101000010010000001111000000000000000000000000
24,0,2019-06-27 14:01:07,1110010000000001000011110000001101101011000001000001010000011111000101000010010000001111000000000000000000000000
24,0,2019-06-27 14:02:54,1110010000000001000011110000001101101111000001000001010000011110000101000010100100001111000000000000000000000000
24,0,2019-06-27 14:04:40,1110010000000001000011110000001101101111000001000001010000011110000101000010100100001111000000000000000000000000
24,0,2019-06-27 14:06:31,1110010000000001000011110000001101110010000001000001010000100010000101000010100000001111000000000000000000000000
24,0,2019-06-27 14:08:26,1110010000000001000011110000001101110101000001000001010000100011000101000010101000001111000000000000000000000000
24,0,2019-06-27 14:10:21,1110010000000001000011110000001101110110000001000001010000100011000101000010101100001111000000000000000000000000
24,0,2019-06-27 14:12:18,1110010000000001000011110000001101110111000001000001010000100101000101010010100100001111000000000000000000000000
24,0,2019-06-27 14:14:19,1110010000000001000011110000001101101111000001000001010000100000000101000010011100001111000000000000000000000000
24,0,2019-06-27 14:16:12,1110010000000001000011110000001101101101000001000001010000100000000101000010010100001111000000000000000000000000
24,0,2019-06-27 14:18:03,1110010000000001000011110000001101110010000001000001010000100101000101000010010100001111000000000000000000000000
24,0,2019-06-27 14:19:57,1110010000000001000011110000001101101100000001000001010000100011000101000010000100001111000000000000000000000000
24,0,2019-06-27 14:21:49,1110010000000001000011110000001101100110000001000001010000011111000101000001111100001111000000000000000000000000
24,0,2019-06-27 14:23:33,1110010000000001000011110000001101101100000001000001010000100000000101000010010000001111000000000000000000000000
24,0,2019-06-27 14:25:16,1110010000000001000011110000001101101000000001000001010000011111000101000010000100001111000000000000000000000000
24,0,2019-06-27 14:27:03,1110010000000001000011110000001101101101000001000001010000100011000101000010001000001111000000000000000000000000
24,0,2019-06-27 14:28:51,1110010000000001000011110000001101110100000001000001010000100101000101000010011100001111000000000000000000000000
24,0,2019-06-27 14:30:42,1110010000000001000011110000001101101101000001000001010000100100000101000010000100001111000000000000000000000000
24,0,2019-06-27 14:34:26,1110010000000001000011110000001101101100000001000001010000100001000101000010001100001111000000000000000000000000
24,0,2019-06-27 14:36:12,1110010000000001000011110000001101101111000001000001010000100000000101000010011100001111000000000000000000000000
24,0,2019-06-27 14:37:59,1110010000000001000011110000001101110010000001000001010000100000000101000010101000001111000000000000000000000000
24,0,2019-06-27 14:39:50,1110010000000001000011110000001101110101000001000001010000100011000101000010101000001111000000000000000000000000
